t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz,timing_on,period_s,pkt_latency_s,meas_stamp_s,stamp_err_s
0.0100,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.4193,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.5716,-11.7368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0666,0.1666,-0.0147,5.5437,2.2950,0.0000,1,0.2216,0.0453,0.0000,-0.0020
0.0200,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.4549,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.7056,-11.7142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1329,0.3314,-0.0292,5.5158,2.3614,0.0000,1,0.2216,0.0453,0.0000,-0.0020
0.0300,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.4894,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.8373,-11.6919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1987,0.4944,-0.0435,5.4870,2.4274,0.0000,1,0.2216,0.0453,0.0000,-0.0020
0.0400,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.5227,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.9668,-11.6699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2641,0.6558,-0.0576,5.4575,2.4931,0.0000,1,0.2216,0.0453,0.0000,-0.0020
0.0500,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.5550,11.9546,-7.6004,8.4233,0.3600,0.3600,0.0187,6.0000,0.0000,1.5766,4.3095,0.1722,19.0940,-11.6483,18.4354,-11.7598,18.4936,-12.0174,18.4800,-12.0455,18.3435,-12.3271,-0.6586,-0.1116,-0.6004,-0.3692,-0.6140,-0.3973,1,0.0500,1,0,0.3333,0.3333,0.3333,0.3290,0.8154,-0.0715,5.4272,2.5584,0.0000,1,0.2216,0.0453,-0.0020,-0.0020
0.0600,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.5862,11.9354,-7.6508,8.4331,0.3600,0.3600,0.0187,6.0000,0.0000,1.5762,5.0660,0.1717,19.2190,-11.6270,18.4354,-11.7598,18.4936,-12.0174,18.4740,-12.0575,18.3073,-12.3978,-0.7836,-0.1329,-0.7254,-0.3905,-0.7450,-0.4306,1,0.0600,1,0,0.3333,0.3333,0.3333,0.3936,0.9733,-0.0852,5.3961,2.6233,0.0000,1,0.2216,0.0453,-0.0020,-0.0020
0.0700,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.6163,11.9129,-7.7033,8.4447,0.3600,0.3600,0.0187,6.0000,0.0000,1.5758,5.8320,0.1712,19.3418,-11.6060,18.4354,-11.7598,18.4936,-12.0174,18.4668,-12.0717,18.2689,-12.4717,-0.9064,-0.1539,-0.8482,-0.4115,-0.8750,-0.4657,1,0.0700,1,0,0.3333,0.3333,0.3333,0.4577,1.1296,-0.0987,5.3643,2.6879,0.0000,1,0.2216,0.0453,-0.0020,-0.0020
0.0800,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.6452,11.8872,-7.7580,8.4581,0.3600,0.3600,0.0185,6.0000,0.0000,1.5754,6.6032,0.1707,19.4624,-11.5853,18.4354,-11.7598,18.4936,-12.0174,18.4584,-12.0880,18.2281,-12.5488,-1.0270,-0.1745,-0.9688,-0.4321,-1.0039,-0.5026,1,0.0800,1,0,0.3333,0.3333,0.3333,0.5213,1.2843,-0.1120,5.3316,2.7521,0.0000,1,0.2216,0.0453,-0.0020,-0.0020
0.0900,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.6731,11.8583,-7.8148,8.4731,0.3600,0.3600,0.0183,6.0000,0.0000,1.5750,7.3774,0.1702,19.5808,-11.5650,18.4354,-11.7598,18.4936,-12.0174,18.4489,-12.1063,18.1850,-12.6294,-1.1454,-0.1948,-1.0872,-0.4525,-1.1319,-0.5414,1,0.0900,1,0,0.3333,0.3333,0.3333,0.5846,1.4373,-0.1250,5.2982,2.8158,0.0000,1,0.2216,0.0453,-0.0020,-0.0020
0.1000,IMM-UKF-LOS,jink,0.500,4.00,0.050,1,0.600,1,19.7000,11.8264,-7.8736,8.4900,0.3600,0.3600,0.0180,6.0000,0.0000,1.5746,8.1533,0.1696,19.6970,-11.5450,18.4354,-11.7598,18.4936,-12.0174,18.4380,-12.1269,18.1393,-12.7134,-1.2616,-0.2149,-1.2034,-0.4725,-1.2590,-0.5819,1,0.1000,1,0,0.3333,0.3333,0.3333,0.6474,1.5887,-0.1379,5.2640,2.8792,0.0000,1,0.2216,0.0453,-0.0020,-0.0020
